전시회,전시회 영문명,개최기간,품목 대분류,개최국가,개최도시,공동수행기관
미국 라스베가스 소비재 전자제품 전시회,Consumer Electronics Show,01-07~01-10,전기전자,미국,라스베가스,KOTRA
영국 런던 교육장비 전시회,British Education Training and Technology,01-22~01-24,고부가,영국,런던,한국과학기기공업협동조합
브라질 상파울루 치과학 전시회,2025 Congresso Internacional de Odontologia de Sao Paulo,01-22~01-25,바이오헬스,브라질,상파울루,한국치과의료기기산업협회
러시아 모스크바 국제 식품 전시회,2025 PROD EXPO,02-03~02-07,종합/기타,러시아,모스크바,글로벌에프엠
이탈리아 밀라노 춘계 우니카,Milano Unica 2025 S/S,02-04~02-06,섬유패션,이탈리아,밀라노,한국섬유수출입협회
아랍에미리트 두바이 치과기자재 전시회,UAE Internaitional Dental Conference & Arab Dental,02-04~02-06,바이오헬스,아랍에미리트,두바이,한국치과의료기기산업협회
이탈리아 밀라노 광학 전시회,"MIDO , internation optics, optomerty and ophthalmology exhibition",02-08~02-10,생활용품,이탈리아,밀라노,한국광학공업협동조합
사우디아라비아 리야드 건축 전시회,Big 5 Construct Saudi 2025,02-15~02-18,건축기자재,사우디아라비아,리야드,KOTRA
미국 뉴욕 춘계 패션 코테리,2025 COTERIE- Women's Fashion Show in New York ,02-18~02-20,섬유패션,미국,뉴욕,한국패션소재협회
일본 도쿄 이차전지 전시회,International Rechargeable Battery Expo,02-19~02-21,녹색기술,일본,도쿄,한국배터리산업협회
스페인 바르셀로나 정보통신 전시회,MWC Barcelona,03-03~03-06,정보통신,스페인,바르셀로나,한국정보통신기술산업협회
일본 오사카 의료기기 전시회,2025 International Medical & Elderly Care Expo Osaka,03-05~03-07,바이오헬스,일본,오사카,한국의료기기산업협회
일본 도쿄 국제 식품 전시회,International Food and Beverage Exhibition 2025,03-11~03-14,종합/기타,일본,도쿄,경기도경제과학진흥원
중국 베이징 프랜차이즈 전시회,CHINA FRANCHINSE EXPO 2025,03-14~03-16,고부가,중국,베이징,글로벌에프엠
이탈리아 볼로냐 코스모프로프,Cosmoprof Worldwide Bologna,03-20~03-22,생활용품,이탈리아,볼로냐,국제뷰티산업교역협회
독일 쾰른 치과기자재 전시회,IDS,03-25~03-29,바이오헬스,독일,쾰른,한국치과의료기기산업협회
독일 하노버 산업 전시회 (기계관),Hannover Messe,03-31~04-04,기계류,독일,하노버,코아미인포마마켓
독일 하노버 산업 전시회 (로봇관),Hannover Messe,03-31~04-04,기계류,독일,하노버,한국로봇산업협회
미국 라스베가스 보안 전시회,International Security Conference West,04-02~04-04,정보통신,미국,라스베가스,한국정보보호산업협회
베트남 하노이 엑스포,Vietnam International Trade Fair,04-02~04-05,종합/기타,베트남,하노이,인천테크노파크
일본 도쿄 애완동물 전시회,INTERPETS ASIA PACIFIC 2025,04-03~04-06,종합/기타,일본,도쿄,한국펫산업수출협회
미국 라스베가스 방송장비 전시회,National Association Broadcasters 2025,04-06~04-09,전기전자,미국,라스베가스,한국정보통신기술산업협회
독일 뮌헨 건축 건설 전시회,BAUMA 2025,04-07~04-13,건축기자재,독일,뮌헨,한국건설기계산업협회
중국 상하이 춘계 의료기기 전시회,The China International Medical Equipment Fair(CMEF) 2025,04-08~04-11,바이오헬스,중국,상하이,한국의료기기협동조합
홍콩 춘계 소비재 전자 전시회,Global Sources Consumer Electronics Show - Hong Kong (GSCES 2025),04-11~04-14,전기전자,중국(홍콩),홍콩,매직익스비션스홍콩리미티드한국지점
중국 하이커우시 국제 소비재 전시회,CHINA INTERNATIONAL CONSUMER PRODUCTS EXPO,04-13~04-18,생활용품,중국,하이커우시,한국뷰티산업무역협회
중국 광저우 춘계 수출입상품 교역 전시회(1기),135th CHINA IMPORT AND EXPORT FAIR CANTON FAIR,04-15~04-19,종합/기타,중국,광저우,한국정보기술연구원
중국 베이징 공작기계 전시회 (공구관),China International Machine Tool Show 2025,04-21~04-26,기계류,중국,베이징,한국공구공업협동조합
중국 베이징 공작기계 전시회 (공작기계관),China International Machine Tool Show 2025,04-21~04-26,기계류,중국,베이징,한국공작기계산업협회
브라질 상파울루 자동차 부품 전시회,Automec 2025,04-22~04-26,자동차조선,브라질,상파울루,아인글로벌
일본 도쿄 교육 종합 전시회,EDUCATION EXPO JAPAN 2025,04-23~04-25,고부가,일본,도쿄,트레이드월드
중국 광저우 춘계 수출입 상품 교역 전시회(2기),CHINA IMPORT AND EXPORT FAIR 2025 (Canton Fair),04-23~04-27,종합/기타,중국,광저우,인천테크노파크
중국 상하이 국제 자동차공업 전시회,Shanghai International Automobile Industry Exhibition 2025,04-23~05-02,자동차조선,중국,상하이,아인글로벌
홍콩 선물용품 전시회,Hong Kong Gift and Premium Fair 2025,04-27~04-30,생활용품,중국(홍콩),홍콩,아이피알포럼 
일본 도쿄 뷰티월드 전시회,Beauty World Japan Tokyo 2025,04-28~04-30,생활용품,일본,도쿄,국제뷰티산업교역협회
미국 샌프란시스코 정보보안 전시회,RSA Conference,04-28~05-01,정보통신,미국,샌프란시스코,한국정보보호산업협회
이탈리아 볼로냐 애완용품 전시회,ZOOMARK,05-05~05-07,생활용품,이탈리아,볼로냐,한국펫산업수출협회
중국 상하이 미용 전시회,China Beauty Expo 2025,05-12~05-14,생활용품,중국,상하이,코이코
말레이시아 쿠알라룸푸르 기계 전시회,International Machine Tools and Metalworking Technology Exhibition (METALTECH) 2025,05-14~05-17,기계류,말레이시아,쿠알라룸푸르,한국공구공업협동조합
스페인 바르셀로나 비타푸드,VitaFoods Europe,05-20~05-22,바이오헬스,스페인,바르셀로나,한국의약품수출입협회
독일 베를린 정보통신 전시회,2025 GITEX Europe Berlin,05-21~05-23,정보통신,독일,베를린,한국정보기술연구원
싱가포르 정보통신 전시회,CommunicAsia 2025,05-27~05-29,정보통신,싱가포르,싱가포르,한국정보통신기술산업협회
노르웨이 오슬로 국제 선박 전시회,Nor-Shipping 2025,06-03~06-06,자동차조선,노르웨이,오슬로,한국조선해양기자재공업협동조합
미국 라스베가스 보석 전시회,THE JCK LAS VEGAS SHOW 2025,06-06~06-09,생활용품,미국,라스베가스,한국주얼리산업협동조합연합회
중국 베이징 치과설비 재료 및 기술 전시회,2025 China International Dental Exhibition & Scientific Conference,06-09~06-12,바이오헬스,중국,베이징,한국치과의료기기산업협회
캐나다 캘거리 에너지 전시회,2025 Global Energy Show,06-10~06-12,녹색기술,캐나다,캘거리,KOTRA
중국 선전 국제 섬유 전시회,INTERTEXTILE SHENZHEN Apparel Fabrics,06-11~06-13,섬유패션,중국,심천,한국패션소재협회
미국 플로리다 의료기기 전시회,Florida International Medical Expo,06-11~06-13,바이오헬스,미국,라스베가스,경기도경제과학진흥원
태국 방콕 포장용품 전시회,2025 The 32st International Processing and Packaging Exhibition for Asia,06-11~06-14,기계류,태국,방콕,한국포장기계협회
튀르키예 이스탄불 자동차부품 전시회,Automechanika Istanbul 2025,06-12~06-15,자동차조선,튀르키예,이스탄불,아인글로벌
미국 바이오 전시회,2025 Bio International Convention,06-16~06-19,바이오헬스,미국,미정,한국바이오협회
"미국 라스베가스 미용, 화장 및 스파 컨퍼런스 전시회",Las Vegas IECSC/IBE,06-21~06-23,생활용품,미국,라스베가스,코이코
중국 상하이 의약품 전시회,Convention on Pharmaceutical Ingredients China,06-24~06-26,바이오헬스,중국,상하이,한국의약품수출입협회
"독일 뮌헨 생산공학, 자동화 전시회",AUTOMATICA 2025,06-24~06-27,기계류,독일,뮌헨,한국로봇산업협회
이탈리아 밀라노 추계 우니카,Milano Unica F/W 25,07-08~07-10,섬유패션,이탈리아,밀라노,한국섬유수출입협회
일본 도쿄 기계 요소 기술 전시회,Manufacturing World Tokyo,07-09~07-11,기계류,일본,도쿄,한국베어링산업협회
중국 상하이 유아용품 전시회,China Shanghai International Children Baby and Maternity Products Industry Expo 2025,07-16~07-18,생활용품,중국,상하이,베페
말레이시아 쿠알라룸푸르 아키덱스 건축·인테리어·설계 전시회,"International Architecture, Interior Design & Building Exhibition (ARCHIDEX) 2025",07-23~07-26,건축기자재,말레이시아,쿠알라룸푸르,글로벌비즈마켓
미국 라스베가스 하계 소비재 박람회,2025 ASD Market Week Summer,08-03~08-06,종합/기타,미국,라스베가스,트레이드월드
인도네시아 자카르타 수처리 전시회,2025 INDOWATER EXPO&FORUM,08-13~08-15,녹색기술,인도네시아,자카르타,환경보전협회
미국 라스베가스 반려동물용품 전시회,2025 The National Show for Pet Retailers - Super Zoo,08-13~08-15,생활용품,미국,라스베가스,한국펫산업수출협회
중국 상하이 반려동물용품 전시회,Pet Fair Asia 2025,08-20~08-24,생활용품,중국,상하이,한국펫산업수출협회
남아공 케이프타운 의료기기 전시회,2025 Africa Health ,09-02~09-04,바이오헬스,남아프리카공화국,케이프타운,한국의료기기산업협회
브라질 상파울루 뷰티 전시회,Feire International de Beleza Profissional 2025,09-06~09-09,생활용품,브라질,상파울루,국제뷰티산업교역협회
타이베이 반도체 전시회,Semicon Taiwan 2025,09-10~09-12,전기전자,중국(대만),타이베이,한국산업지능화협회
프랑스 파리 추계 텍스월드,2025 TEXWORLD PARIS - Autumn Edition,09-15~09-17,섬유패션,프랑스,파리,한국섬유산업연합회
태국 방콕 건강기능식품 전시회,Vitafoods Asia,09-17~09-19,바이오헬스,태국,방콕,트레이드월드
인도네시아 자카르타 건설 기계 및 전기 전시회,Mining Indonesia,09-17~09-20,기계류,인도네시아,자카르타,한국건설기계산업협회
말레이시아 쿠알라룸푸르 할랄 식품 전시회,Malaysia International Halal Showcase,09-17~09-20,생활용품,말레이시아,쿠알라룸푸르,글로벌에프엠
독일 하노버 공작기계 전시회,2025 Exposition Mondiale de la Machine Outil Hannover 2025,09-22~09-26,기계류,독일,하노버,한국공구공업협동조합
독일 하노버 공작기계 전시회,2025 Exposition Mondiale de la Machine Outil Hannover 2025,09-22~09-26,기계류,독일,하노버,한국공작기계산업협회
중국 광저우 추계 의료기기 전시회,2025 China International Medical Equipment Fair,09-26~09-29,바이오헬스,중국,광저우,한국의료기기협동조합
프랑스 파리 광학 전시회,SILMO International Optical & Eyewear Industry Trade Fair 2025,09-26~09-29,생활용품,프랑스,파리,한국광학공업협동조합
말레이시아 쿠알라룸푸르 코스모뷰티 아시아 전시회,Malaysia Cosmobeuate 2025 [COSMOBEAUTE],09-30~10-03,생활용품,말레이시아,쿠알라룸푸르,대한화장품협회
미국 피닉스 애리조나 세미콘 웨스트 반도체 전시회,Semicon West 2025,10-07~10-09,전기전자,미국,피닉스,한국산업지능화협회
타이베이 유아용품 전시회,Toplink Baby & Mommy Expo 2025,10-09~10-12,생활용품,중국(대만),타이베이,세계전람
UAE 두바이 정보통신 전시회,Gulf Information Technology Exhibition 2025,10-13~10-17,정보통신,아랍에미리트,두바이,KOTRA
러시아 모스크바 향수 및 화장품 전시회,InterCHARM 2025,10-15~10-18,생활용품,러시아,모스크바,한국뷰티산업무역협회
중국 광저우 추계 수출입상품 교역 전시회(1기),136th CHINA IMPORT AND EXPORT FAIR CANTON FAIR,10-15~10-19,종합/기타,중국,광저우,글로벌에프엠
중국 청두 추계 미용 전시회,2025 China Chengdu Beauty Expo(autumn),10-16~10-18,생활용품,중국,청두,한국뷰티산업무역협회
인도네시아 자카르타 국제 식품가공 및 포장 전시회,Allpack Indonesia 2025,10-21~10-24,기계류,인도네시아,자카르타,한국포장기계협회 
튀르키예 이스탄불 포장 전시회,Eurasia Packaging Istanbul 2025,10-22~10-25,기계류,튀르키예,이스탄불,한국포장협회
중국 상하이 치과 기자재 전시회,"China International Exhibition & Symposium on Dental Equipment, Technology & Products 2025",10-23~10-26,바이오헬스,중국,상하이,한국치과의료기기산업협회
중국 광저우 추계 수출입 상품 교역 전시회(2기),CHINA IMPORT AND EXPORT FAIR 2025 (Canton Fair),10-23~10-27,종합/기타,중국,광저우,인천테크노파크
미국 샌프란시스코 스타트업 전시회,TechCrunch Disrupt SF 2025,10-27~10-29,종합/기타,미국,샌프란시스코,아인글로벌
독일 프랑크푸르트 세계의약품 전시회,Convention on Pharmaceutical Ingredients Worldwide,10-28~10-30,바이오헬스,독일,프랑크푸르트,한국의약품수출입협회
태국 방콕 화장품 원료 전시회,in-cosmetics Asia 2025,11-04~11-06,생활용품,태국,방콕,국제뷰티산업교역협회
스페인 바르셀로나 스마트 시티 전시회,2025 Smart City Expo World Congress,11-04~11-06,정보통신,스페인,바르셀로나,벤처기업협회
미국 라스베가스 자동차부품 전시회,Automotive Aftermarket Products Expo,11-04~11-06,자동차조선,미국,라스베가스,아인글로벌
독일 뒤셀도르프 산업 안전 전시회,"A + A Safety, Security and Health at Work - International Trade Fair with Congress",11-04~11-07,종합/기타,독일,뒤셀도르프,안전보호구협회
UAE 두바이 교육장비 전시회,Global Educational Supplies and Solutions,11-11~11-13,고부가,아랍에미리트,두바이,한국과학기기공업협동조합
홍콩 코스모프로프,Cosmoprof Asia Hongkong ,11-12~11-14,생활용품,중국(홍콩),홍콩,대한화장품협회
베트남 호치민 국제 식품산업 전시회,VIETNAM INT'L FOOD INDUSTRY EXHIBITION,11-12~11-15,생활용품,베트남,호치민,지엠이지
미국 시카고 프라이빗 라벨 전시회,PLMA Chicago Trade Show 2025,11-16~11-18,생활용품,미국,시카고,한국무역협회
태국 방콕 기계 전시회,METALEX,11-19~11-22,기계류,태국,방콕,코아미인포마마켓
UAE 두바이 건축기자재(냉동공조) 전시회,2025 The Big 5 show,11-24~11-27,건축기자재,아랍에미리트,두바이,한국냉동공조산업협회
중국 상하이 자동차부품 전시회,Automechnika Shanghai 2025,11-26~11-29,자동차조선,중국,상하이,아인글로벌
미국 뉴욕 치과 전시회,2025 Greater New York Dental Meeting,11-30~12-03,바이오헬스,미국,뉴욕,한국치과의료기기산업협회
미국 시카고 방사선 의료기기 전시회,Radiological Society of North America 2025,11-30~12-03,바이오헬스,미국,시카고,한국의료기기산업협회
중국 상하이 조선해양 전시회,Marintec China,12-02~12-05,자동차조선,중국,상하이,한국조선해양기자재공업협동조합
인도네시아 자카르타 산업기계 전시회,MANUFACTURING INDONESIA SERIES,12-03~12-06,기계류,인도네시아,자카르타,한국공구공업협동조합
인도 뭄바이 코스모프로프,2025 Cosmoprof India Mumbai,12-04~12-06,생활용품,인도,뭄바이,국제뷰티산업교역협회
러시아 모스크바 의료기기 전시회,2025 RUSSIAN HEALTH CARE WEEK ,12-08~12-11,바이오헬스,러시아,모스크바,한국의료기기산업협회
아랍에미리트 두바이 자동차부품 전시회,Automechanika Dubai,12-09~12-11,자동차조선,아랍에미리트,두바이,아인글로벌
일본 세미콘 반도체 전시회,SEMICON JAPAN 2025,12-17~12-19,전기전자,일본,도쿄,한국산업지능화협회
